GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clientes-service,com.empresa.clientes.dto,ClienteRequest,0,24,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.dto,ClienteCreateEvent,0,30,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.dto,ClienteStatusResponse,0,12,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.dto,ClienteResponseEvent,0,12,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.dto,ClienteAcceptedResponse,0,12,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.dto,PageResponse,0,36,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.dto,ClienteResponse,0,36,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.controller,ClienteController,0,42,0,0,0,7,0,6,0,6
clientes-service,com.empresa.clientes.util,PageResponseUtil,3,125,6,22,0,19,6,12,0,4
clientes-service,com.empresa.clientes.util,CorrelationIdUtil,0,36,0,6,0,11,0,9,0,6
clientes-service,com.empresa.clientes.audit,OperacaoAuditoria,0,33,0,0,0,6,0,1,0,1
clientes-service,com.empresa.clientes.audit,AuditoriaService,0,28,0,0,0,10,0,3,0,3
clientes-service,com.empresa.clientes.config,KafkaProperties.Retry,0,12,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.config,KafkaHealthIndicator,0,29,0,0,0,11,0,1,0,1
clientes-service,com.empresa.clientes.config,RepositoryConfig,0,23,0,0,0,5,0,5,0,5
clientes-service,com.empresa.clientes.config,KafkaProperties.Topics,0,15,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.config,KafkaConfig,10,222,0,2,3,41,1,8,1,7
clientes-service,com.empresa.clientes.config,JdbiConfig,0,31,0,0,0,7,0,2,0,2
clientes-service,com.empresa.clientes.config,KafkaProperties,0,12,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.config,CorrelationIdFilter,0,27,0,0,0,9,0,2,0,2
clientes-service,com.empresa.clientes.config,OpenApiConfig,0,23,0,0,0,7,0,2,0,2
clientes-service,com.empresa.clientes.service,ClienteService,0,305,0,4,0,74,0,14,0,12
clientes-service,com.empresa.clientes.service,IdempotenciaService,0,27,0,0,0,8,0,2,0,2
clientes-service,com.empresa.clientes.producer,ClienteCreateProducer,0,110,1,3,0,22,1,3,0,2
clientes-service,com.empresa.clientes,ClientesServiceApplication,8,0,0,0,3,0,2,0,2,0
clientes-service,com.empresa.clientes.mapper,ClienteMapperImpl,8,176,4,6,4,52,4,6,0,5
clientes-service,com.empresa.clientes.exception,KafkaPublishException,0,5,0,0,0,2,0,1,0,1
clientes-service,com.empresa.clientes.exception,ErrorResponse,0,18,0,0,0,1,0,1,0,1
clientes-service,com.empresa.clientes.exception,GlobalExceptionHandler,0,109,0,0,0,21,0,12,0,12
clientes-service,com.empresa.clientes.exception,TimeoutException,0,9,0,0,0,4,0,2,0,2
clientes-service,com.empresa.clientes.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
clientes-service,com.empresa.clientes.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
clientes-service,com.empresa.clientes.exception,DatabaseException,0,5,0,0,0,2,0,1,0,1
clientes-service,com.empresa.clientes.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
clientes-service,com.empresa.clientes.exception,KafkaConsumeException,0,5,0,0,0,2,0,1,0,1
clientes-service,com.empresa.clientes.consumer,ClienteResponseConsumer,0,78,1,9,0,22,1,6,0,2
