GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pedidos-service,com.empresa.pedidos.cache,CacheKeyConstants,0,3,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.cache,ProdutoCacheService,0,88,0,4,0,22,0,8,0,6
pedidos-service,com.empresa.pedidos.service,ProdutoConsultaService,0,79,0,4,0,20,0,6,0,4
pedidos-service,com.empresa.pedidos.service,IdempotenciaService,0,27,0,0,0,8,0,2,0,2
pedidos-service,com.empresa.pedidos.service,PedidoService,19,368,1,7,1,89,3,15,2,12
pedidos-service,com.empresa.pedidos.producer,PedidoCreateProducer,0,115,0,4,0,22,0,4,0,2
pedidos-service,com.empresa.pedidos.config,JdbiConfig,0,36,0,0,0,8,0,2,0,2
pedidos-service,com.empresa.pedidos.config,OpenApiConfig,0,23,0,0,0,7,0,2,0,2
pedidos-service,com.empresa.pedidos.config,CorrelationIdFilter,0,27,0,0,0,9,0,2,0,2
pedidos-service,com.empresa.pedidos.config,RedisConfig,0,71,0,0,0,22,0,5,0,5
pedidos-service,com.empresa.pedidos.config,RepositoryConfig,0,28,0,0,0,6,0,6,0,6
pedidos-service,com.empresa.pedidos.config,KafkaHealthIndicator,0,29,0,0,0,11,0,1,0,1
pedidos-service,com.empresa.pedidos.config,KafkaProperties.Topics,0,15,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.config,KafkaProperties,0,12,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.config,KafkaConfig,0,232,0,2,0,44,0,9,0,8
pedidos-service,com.empresa.pedidos.config,KafkaProperties.Retry,0,12,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.config,RedisProperties.RetryProperties,0,12,0,0,0,4,0,1,0,1
pedidos-service,com.empresa.pedidos.config,RedisProperties,0,14,0,0,0,4,0,1,0,1
pedidos-service,com.empresa.pedidos.mapper,PedidoMapperImpl,0,136,0,8,0,44,0,8,0,4
pedidos-service,com.empresa.pedidos,PedidosServiceApplication,8,0,0,0,3,0,2,0,2,0
pedidos-service,com.empresa.pedidos.util,CorrelationIdUtil,0,36,0,6,0,11,0,9,0,6
pedidos-service,com.empresa.pedidos.util,CpfUtil,21,81,8,10,6,15,8,5,1,3
pedidos-service,com.empresa.pedidos.util,PedidoStatusUtil,0,30,0,6,0,6,0,5,0,2
pedidos-service,com.empresa.pedidos.util,PageResponseUtil,0,129,2,26,0,19,2,16,0,4
pedidos-service,com.empresa.pedidos.exception,TimeoutException,0,5,0,0,0,2,0,1,0,1
pedidos-service,com.empresa.pedidos.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
pedidos-service,com.empresa.pedidos.exception,ErrorResponse,0,18,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.exception,KafkaPublishException,0,5,0,0,0,2,0,1,0,1
pedidos-service,com.empresa.pedidos.exception,GlobalExceptionHandler,0,116,0,0,0,22,0,13,0,13
pedidos-service,com.empresa.pedidos.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
pedidos-service,com.empresa.pedidos.exception,DatabaseException,0,5,0,0,0,2,0,1,0,1
pedidos-service,com.empresa.pedidos.exception,KafkaConsumeException,0,5,0,0,0,2,0,1,0,1
pedidos-service,com.empresa.pedidos.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
pedidos-service,com.empresa.pedidos.exception,RedisException,0,9,0,0,0,4,0,2,0,2
pedidos-service,com.empresa.pedidos.controller,PedidoController,0,36,0,0,0,5,0,5,0,5
pedidos-service,com.empresa.pedidos.consumer,PedidoResponseConsumer,0,92,1,11,0,26,1,7,0,2
pedidos-service,com.empresa.pedidos.dto,PedidoResponse,0,27,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.dto,PageResponse,0,36,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.dto,ProdutoCacheDto,0,21,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.dto,PedidoCreateEvent,0,27,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.dto,PedidoStatusRequest,0,6,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.dto,PedidoResponseEvent,0,12,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.dto,PedidoRequest,0,12,0,0,0,1,0,1,0,1
pedidos-service,com.empresa.pedidos.audit,AuditoriaService,0,28,0,0,0,10,0,3,0,3
pedidos-service,com.empresa.pedidos.audit,OperacaoAuditoria,0,33,0,0,0,6,0,1,0,1
