GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
produtos-service,com.empresa.produtos.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
produtos-service,com.empresa.produtos.exception,ErrorResponse,0,18,0,0,0,1,0,1,0,1
produtos-service,com.empresa.produtos.exception,DatabaseException,0,5,0,0,0,2,0,1,0,1
produtos-service,com.empresa.produtos.exception,KafkaConsumeException,0,5,0,0,0,2,0,1,0,1
produtos-service,com.empresa.produtos.exception,GlobalExceptionHandler,0,104,0,0,0,20,0,13,0,13
produtos-service,com.empresa.produtos.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
produtos-service,com.empresa.produtos.exception,TimeoutException,0,9,0,0,0,4,0,2,0,2
produtos-service,com.empresa.produtos.exception,KafkaPublishException,0,5,0,0,0,2,0,1,0,1
produtos-service,com.empresa.produtos.exception,RedisException,0,9,0,0,0,4,0,2,0,2
produtos-service,com.empresa.produtos.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
produtos-service,com.empresa.produtos.audit,AuditoriaService,0,28,0,0,0,10,0,3,0,3
produtos-service,com.empresa.produtos.audit,OperacaoAuditoria,0,33,0,0,0,6,0,1,0,1
produtos-service,com.empresa.produtos.util,PageResponseUtil,3,124,6,22,0,19,6,12,0,4
produtos-service,com.empresa.produtos.util,CorrelationIdUtil,0,16,0,0,0,6,0,4,0,4
produtos-service,com.empresa.produtos.config,RedisConfig,0,71,0,0,0,22,0,5,0,5
produtos-service,com.empresa.produtos.config,OpenApiConfig,0,23,0,0,0,7,0,2,0,2
produtos-service,com.empresa.produtos.config,JdbiConfig,0,26,0,0,0,6,0,2,0,2
produtos-service,com.empresa.produtos.config,CorrelationIdFilter,0,34,1,3,0,11,1,3,0,2
produtos-service,com.empresa.produtos.config,RepositoryConfig,0,13,0,0,0,3,0,3,0,3
produtos-service,com.empresa.produtos.config,RedisProperties.RetryProperties,0,12,0,0,0,4,0,1,0,1
produtos-service,com.empresa.produtos.config,RedisProperties,0,14,0,0,0,4,0,1,0,1
produtos-service,com.empresa.produtos.config,CacheProperties,0,6,0,0,0,2,0,1,0,1
produtos-service,com.empresa.produtos.config,KafkaHealthIndicator,0,29,0,0,0,11,0,1,0,1
produtos-service,com.empresa.produtos.config,KafkaConfig,0,32,0,0,0,6,0,2,0,2
produtos-service,com.empresa.produtos.service,ProdutoService,6,314,0,6,0,78,1,14,1,11
produtos-service,com.empresa.produtos,ProdutosServiceApplication,8,0,0,0,3,0,2,0,2,0
produtos-service,com.empresa.produtos.controller,ProdutoController,0,36,0,0,0,6,0,5,0,5
produtos-service,com.empresa.produtos.cache,ProdutoCacheService,14,211,2,8,4,56,2,15,0,12
produtos-service,com.empresa.produtos.cache,CacheKeyConstants,0,3,0,0,0,1,0,1,0,1
produtos-service,com.empresa.produtos.cache,ProdutoCacheLoader,0,19,0,2,0,7,0,3,0,2
produtos-service,com.empresa.produtos.cache,ProdutoCacheService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
produtos-service,com.empresa.produtos.dto,ProdutoResponse,0,21,0,0,0,1,0,1,0,1
produtos-service,com.empresa.produtos.dto,PageResponse,0,36,0,0,0,1,0,1,0,1
produtos-service,com.empresa.produtos.dto,ProdutoRequest,0,9,0,0,0,1,0,1,0,1
produtos-service,com.empresa.produtos.mapper,ProdutoMapperImpl,6,95,3,5,3,28,3,5,0,4
produtos-service,com.empresa.produtos.scheduler,ProdutoCacheScheduler,0,15,0,0,0,5,0,2,0,2
